# Frequency w         I(w)
1.500000       0.00000602210261610463
1.500100       0.00000602292656730915
1.500200       0.00000602375076777205
1.500300       0.00000602457521595026
1.500400       0.00000602539991487707
1.500500       0.00000602622485571860
1.500600       0.00000602705005942963
1.500700       0.00000602787550640216
1.500800       0.00000602870120249464
1.500900       0.00000602952715516101
1.501000       0.00000603035334761399
1.501100       0.00000603117978910704
1.501200       0.00000603200648558066
1.501300       0.00000603283343162608
1.501400       0.00000603366062769310
1.501500       0.00000603448807335852
1.501600       0.00000603531577082773
1.501700       0.00000603614371775945
1.501800       0.00000603697191612777
1.501900       0.00000603780036542927
1.502000       0.00000603862906431880
1.502100       0.00000603945801565744
1.502200       0.00000604028721670241
1.502300       0.00000604111666887284
1.502400       0.00000604194637342075
1.502500       0.00000604277632928948
1.502600       0.00000604360653570463
1.502700       0.00000604443699401288
1.502800       0.00000604526770356851
1.502900       0.00000604609866617850
1.503000       0.00000604692987894581
1.503100       0.00000604776134460883
1.503200       0.00000604859306338446
1.503300       0.00000604942503294982
1.503400       0.00000605025725443855
1.503500       0.00000605108972941457
1.503600       0.00000605192245566592
1.503700       0.00000605275543438029
1.503800       0.00000605358866754328
1.503900       0.00000605442215239725
1.504000       0.00000605525589066067
1.504100       0.00000605608988021877
1.504200       0.00000605692412438207
1.504300       0.00000605775862168744
1.504400       0.00000605859337202384
1.504500       0.00000605942837570967
1.504600       0.00000606026363264060
1.504700       0.00000606109914368984
1.504800       0.00000606193490850001
1.504900       0.00000606277092641014
1.505000       0.00000606360719877513
1.505100       0.00000606444372547095
1.505200       0.00000606528050548236
1.505300       0.00000606611754026676
1.505400       0.00000606695482975979
1.505500       0.00000606779237294268
1.505600       0.00000606863017120475
1.505700       0.00000606946822319901
1.505800       0.00000607030652943380
1.505900       0.00000607114509226743
1.506000       0.00000607198390792436
1.506100       0.00000607282298013832
1.506200       0.00000607366230738589
1.506300       0.00000607450189019590
1.506400       0.00000607534172814312
1.506500       0.00000607618182141900
1.506600       0.00000607702217055934
1.506700       0.00000607786277310122
1.506800       0.00000607870363390188
1.506900       0.00000607954475002578
1.507000       0.00000608038612176192
1.507100       0.00000608122774965049
1.507200       0.00000608206963367645
1.507300       0.00000608291177487547
1.507400       0.00000608375416890191
1.507500       0.00000608459682566547
1.507600       0.00000608543973433849
1.507700       0.00000608628290171430
1.507800       0.00000608712632567228
1.507900       0.00000608797000580467
1.508000       0.00000608881394358166
1.508100       0.00000608965813614576
1.508200       0.00000609050258987827
1.508300       0.00000609134729821780
1.508400       0.00000609219226518675
1.508500       0.00000609303748964878
1.508600       0.00000609388297193433
1.508700       0.00000609472871201389
1.508800       0.00000609557470879405
1.508900       0.00000609642096415669
1.509000       0.00000609726747641657
1.509100       0.00000609811424852862
1.509200       0.00000609896128195130
1.509300       0.00000609980856725393
1.509400       0.00000610065611306926
1.509500       0.00000610150391938328
1.509600       0.00000610235198243499
1.509700       0.00000610320030751052
1.509800       0.00000610404888817488
1.509900       0.00000610489772950656
1.510000       0.00000610574682976345
1.510100       0.00000610659618767974
1.510200       0.00000610744580590925
1.510300       0.00000610829568408669
1.510400       0.00000610914582233808
1.510500       0.00000610999621869976
1.510600       0.00000611084687375433
1.510700       0.00000611169779272369
1.510800       0.00000611254897083507
1.510900       0.00000611340040696714
1.511000       0.00000611425210292042
1.511100       0.00000611510405956952
1.511200       0.00000611595628008823
1.511300       0.00000611680875765634
1.511400       0.00000611766149608477
1.511500       0.00000611851449603098
1.511600       0.00000611936775683311
1.511700       0.00000612022127882749
1.511800       0.00000612107506085251
1.511900       0.00000612192910605818
1.512000       0.00000612278341076079
1.512100       0.00000612363797239082
1.512200       0.00000612449280379457
1.512300       0.00000612534789262219
1.512400       0.00000612620324460863
1.512500       0.00000612705885567435
1.512600       0.00000612791473151994
1.512700       0.00000612877086804426
1.512800       0.00000612962726780145
1.512900       0.00000613048392892005
1.513000       0.00000613134085179031
1.513100       0.00000613219803705321
1.513200       0.00000613305548651463
1.513300       0.00000613391319641253
1.513400       0.00000613477117137905
1.513500       0.00000613562940787829
1.513600       0.00000613648790720586
1.513700       0.00000613734667114816
1.513800       0.00000613820569725340
1.513900       0.00000613906498601300
1.514000       0.00000613992453874076
1.514100       0.00000614078435629870
1.514200       0.00000614164443579274
1.514300       0.00000614250477865931
1.514400       0.00000614336538728581
1.514500       0.00000614422625842645
1.514600       0.00000614508739312363
1.514700       0.00000614594879314269
1.514800       0.00000614681045805895
1.514900       0.00000614767238635730
1.515000       0.00000614853458103875
