# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       -0.0000237028       0.0000408818       0.0009976287       0.0000408818
0.0000000000       -0.0000151597       0.0000348987       0.0010061718       0.0000348987
0.0000000000       -0.0000101830       0.0000270636       0.0010111485       0.0000270636
0.0000000000       -0.0000090900       0.0000190004       0.0010122415       0.0000190004
0.0000000000       -0.0000114971       0.0000122859       0.0010098344       0.0000122859
0.0000000000       -0.0000164177       0.0000081630       0.0010049138       0.0000081630
0.0000000000       -0.0000224691       0.0000073287       0.0009988624       0.0000073287
0.0000000000       -0.0000281440       0.0000098318       0.0009931875       0.0000098318
0.0000000000       -0.0000320937       0.0000150969       0.0009892378       0.0000150969
0.0000000000       -0.0000333674       0.0000220626       0.0009879641       0.0000220626
0.0000000000       -0.0000315663       0.0000294044       0.0009897652       0.0000294044
0.0000000000       -0.0000268866       0.0000357944       0.0009944450       0.0000357944
0.0000000000       -0.0000200482       0.0000401481       0.0010012833       0.0000401481
0.0000000000       -0.0000121311       0.0000418118       0.0010092004       0.0000418118
0.0000000000       -0.0000043516       0.0000406585       0.0010169800       0.0000406585
0.0000000000       0.0000021728       0.0000370798       0.0010235044       0.0000370798
0.0000000000       0.0000066263       0.0000318802       0.0010279578       0.0000318802
0.0000000000       0.0000086287       0.0000260998       0.0010299603       0.0000260998
0.0000000000       0.0000082790       0.0000208037       0.0010296106       0.0000208037
0.0000000000       0.0000061050       0.0000168793       0.0010274365       0.0000168793
0.0000000000       0.0000029348       0.0000148798       0.0010242663       0.0000148798
0.0000000000       -0.0000002803       0.0000149411       0.0010210512       0.0000149411
0.0000000000       -0.0000026565       0.0000167842       0.0010186750       0.0000167842
0.0000000000       -0.0000035422       0.0000197951       0.0010177893       0.0000197951
0.0000000000       -0.0000026290       0.0000231656       0.0010187025       0.0000231656
0.0000000000       0.0000000105       0.0000260618       0.0010213420       0.0000260618
0.0000000000       0.0000039599       0.0000277870       0.0010252914       0.0000277870
0.0000000000       0.0000085603       0.0000279095       0.0010298918       0.0000279095
0.0000000000       0.0000130520       0.0000263312       0.0010343835       0.0000263312
0.0000000000       0.0000167274       0.0000232882       0.0010380589       0.0000232882
0.0000000000       0.0000190654       0.0000192883       0.0010403969       0.0000192883
0.0000000000       0.0000198224       0.0000149990       0.0010411539       0.0000149990
0.0000000000       0.0000190664       0.0000111117       0.0010403980       0.0000111117
0.0000000000       0.0000171493       0.0000082085       0.0010384808       0.0000082085
0.0000000000       0.0000146274       0.0000066562       0.0010359589       0.0000066562
0.0000000000       0.0000121484       0.0000065465       0.0010334799       0.0000065465
0.0000000000       0.0000103262       0.0000076901       0.0010316577       0.0000076901
0.0000000000       0.0000096286       0.0000096627       0.0010309602       0.0000096627
0.0000000000       0.0000102978       0.0000118924       0.0010316294       0.0000118924
0.0000000000       0.0000123153       0.0000137686       0.0010336468       0.0000137686
0.0000000000       0.0000154159       0.0000147522       0.0010367474       0.0000147522
0.0000000000       0.0000191449       0.0000144677       0.0010404764       0.0000144677
0.0000000000       0.0000229450       0.0000127603       0.0010442765       0.0000127603
0.0000000000       0.0000262570       0.0000097122       0.0010475885       0.0000097122
0.0000000000       0.0000286140       0.0000056155       0.0010499456       0.0000056155
0.0000000000       0.0000297141       0.0000009113       0.0010510456       0.0000009113
0.0000000000       0.0000294597       -0.0000038930       0.0010507913       -0.0000038930
0.0000000000       0.0000279596       -0.0000083126       0.0010492911       -0.0000083126
0.0000000000       0.0000254949       -0.0000119638       0.0010468264       -0.0000119638
0.0000000000       0.0000224581       -0.0000146198       0.0010437896       -0.0000146198
0.0000000000       0.0000192776       -0.0000162358       0.0010406091       -0.0000162358
0.0000000000       0.0000163400       -0.0000169406       0.0010376716       -0.0000169406
0.0000000000       0.0000139267       -0.0000169987       0.0010352582       -0.0000169987
0.0000000000       0.0000121711       -0.0000167511       0.0010335027       -0.0000167511
0.0000000000       0.0000110460       -0.0000165462       0.0010323776       -0.0000165462
0.0000000000       0.0000103790       -0.0000166726       0.0010317106       -0.0000166726
0.0000000000       0.0000098937       -0.0000173067       0.0010312252       -0.0000173067
0.0000000000       0.0000092674       -0.0000184811       0.0010305989       -0.0000184811
0.0000000000       0.0000081960       -0.0000200803       0.0010295275       -0.0000200803
0.0000000000       0.0000064537       -0.0000218625       0.0010277852       -0.0000218625
0.0000000000       -0.0000119870       0.0000041537       0.0010093445       0.0000041537
0.0000000000       -0.0000026026       0.0000061935       0.0010187289       0.0000061935
0.0000000000       -0.0000014479       0.0000070867       0.0010198836       0.0000070867
0.0000000000       -0.0000021429       -0.0000147924       0.0010191886       -0.0000147924
0.0000000000       -0.0000055228       0.0000091130       0.0010158087       0.0000091130
0.0000000000       0.0000068770       0.0000105111       0.0010282085       0.0000105111
0.0000000000       0.0000030140       -0.0000052699       0.0010243456       -0.0000052699
0.0000000000       -0.0000055036       0.0000225366       0.0010158280       0.0000225366
0.0000000000       -0.0000014880       -0.0000068458       0.0010198436       -0.0000068458
0.0000000000       -0.0000089222       -0.0000019028       0.0010124093       -0.0000019028
0.0000000000       -0.0000110684       -0.0000129569       0.0010102631       -0.0000129569
0.0000000000       -0.0000170281       0.0000024115       0.0010043034       0.0000024115
0.0000000000       0.0000126025       -0.0000055061       0.0010339340       -0.0000055061
0.0000000000       0.0000028606       -0.0000016871       0.0010241921       -0.0000016871
0.0000000000       -0.0000127627       -0.0000028871       0.0010085688       -0.0000028871
0.0000000000       -0.0000127028       -0.0000029122       0.0010086287       -0.0000029122
0.0000000000       0.0000000367       -0.0000097751       0.0010213682       -0.0000097751
0.0000000000       0.0000110300       0.0000013922       0.0010323615       0.0000013922
0.0000000000       -0.0000002786       -0.0000023656       0.0010210530       -0.0000023656
0.0000000000       -0.0000088261       0.0000110606       0.0010125054       0.0000110606
0.0000000000       -0.0000104780       0.0000138742       0.0010108535       0.0000138742
0.0000000000       0.0000000680       -0.0000048219       0.0010213995       -0.0000048219
0.0000000000       0.0000015697       0.0000030874       0.0010229012       0.0000030874
0.0000000000       -0.0000164427       -0.0000066306       0.0010048888       -0.0000066306
0.0000000000       -0.0000049521       -0.0000001383       0.0010163794       -0.0000001383
0.0000000000       0.0000057547       0.0000015068       0.0010270862       0.0000015068
0.0000000000       -0.0000040909       -0.0000068698       0.0010172406       -0.0000068698
0.0000000000       0.0000045871       0.0000150743       0.0010259186       0.0000150743
0.0000000000       0.0000087213       -0.0000043395       0.0010300529       -0.0000043395
0.0000000000       -0.0000017613       0.0000009889       0.0010195702       0.0000009889
0.0000000000       0.0000043468       0.0000017939       0.0010256783       0.0000017939
0.0000000000       -0.0000056849       0.0000076010       0.0010156466       0.0000076010
0.0000000000       -0.0000054973       -0.0000153827       0.0010158342       -0.0000153827
0.0000000000       0.0000067797       -0.0000051720       0.0010281113       -0.0000051720
0.0000000000       0.0000129255       0.0000016603       0.0010342570       0.0000016603
0.0000000000       0.0000014025       -0.0000154803       0.0010227340       -0.0000154803
0.0000000000       0.0000063148       -0.0000164445       0.0010276463       -0.0000164445
0.0000000000       -0.0000068271       0.0000066419       0.0010145044       0.0000066419
0.0000000000       0.0000035500       0.0000077673       0.0010248816       0.0000077673
0.0000000000       0.0000064104       0.0000058342       0.0010277419       0.0000058342
0.0000000000       -0.0000110706       -0.0000025146       0.0010102609       -0.0000025146
0.0000000000       -0.0000185982       0.0000074592       0.0010027333       0.0000074592
0.0000000000       0.0000154269       0.0000050005       0.0010367584       0.0000050005
0.0000000000       0.0000131636       -0.0000098137       0.0010344951       -0.0000098137
0.0000000000       0.0000010600       0.0000049581       0.0010223915       0.0000049581
0.0000000000       -0.0000022150       0.0000037189       0.0010191166       0.0000037189
0.0000000000       0.0000050191       -0.0000048495       0.0010263506       -0.0000048495
0.0000000000       -0.0000139267       -0.0000062269       0.0010074048       -0.0000062269
0.0000000001       0.0000069322       -0.0000003296       0.0010282637       -0.0000003296
0.0000000001       0.0000183765       0.0000005492       0.0010397080       0.0000005492
0.0000000001       -0.0000081711       -0.0000183046       0.0010131605       -0.0000183046
0.0000000001       -0.0000195613       -0.0000000455       0.0010017702       -0.0000000455
0.0000000001       -0.0000107084       0.0000159641       0.0010106231       0.0000159641
0.0000000001       0.0000280483       0.0000063359       0.0010493798       0.0000063359
0.0000000001       -0.0000076452       -0.0000210190       0.0010136863       -0.0000210190
0.0000000001       -0.0000298409       0.0000089075       0.0009914906       0.0000089075
0.0000000001       0.0000196720       -0.0000001594       0.0010410035       -0.0000001594
0.0000000001       0.0000029308       0.0000050830       0.0010242623       0.0000050830
0.0000000001       0.0000124721       -0.0000096244       0.0010338036       -0.0000096244
0.0000000001       -0.0000028372       0.0000026883       0.0010184943       0.0000026883
0.0000000001       -0.0000074274       -0.0000029037       0.0010139042       -0.0000029037
0.0000000001       -0.0000069787       -0.0000092550       0.0010143528       -0.0000092550
0.0000000001       -0.0000154761       0.0000081142       0.0010058555       0.0000081142
0.0000000001       0.0000089349       0.0000253906       0.0010302664       0.0000253906
0.0000000001       -0.0000071507       -0.0000108017       0.0010141808       -0.0000108017
0.0000000001       0.0000039163       0.0000203324       0.0010252478       0.0000203324
0.0000000001       -0.0000027445       -0.0000036754       0.0010185870       -0.0000036754
0.0000000001       0.0000156453       0.0000006732       0.0010369768       0.0000006732
0.0000000001       -0.0000016238       0.0000029262       0.0010197077       0.0000029262
0.0000000001       -0.0000117360       0.0000138553       0.0010095955       0.0000138553
0.0000000001       -0.0000149708       -0.0000117698       0.0010063607       -0.0000117698
0.0000000001       -0.0000035349       0.0000009810       0.0010177966       0.0000009810
0.0000000001       -0.0000117661       0.0000084057       0.0010095654       0.0000084057
0.0000000001       -0.0000041344       -0.0000047715       0.0010171971       -0.0000047715
0.0000000001       -0.0000056339       -0.0000197141       0.0010156976       -0.0000197141
0.0000000001       -0.0000028168       0.0000201137       0.0010185147       0.0000201137
0.0000000001       0.0000151702       -0.0000016780       0.0010365017       -0.0000016780
0.0000000001       0.0000026027       -0.0000005218       0.0010239342       -0.0000005218
0.0000000001       0.0000000013       -0.0000028477       0.0010213328       -0.0000028477
0.0000000001       0.0000139318       0.0000164915       0.0010352633       0.0000164915
0.0000000001       0.0000106449       0.0000028780       0.0010319764       0.0000028780
0.0000000001       0.0000034919       -0.0000293428       0.0010248234       -0.0000293428
0.0000000001       0.0000085519       0.0000230486       0.0010298835       0.0000230486
0.0000000001       0.0000129788       -0.0000034910       0.0010343103       -0.0000034910
0.0000000001       -0.0000058986       -0.0000163685       0.0010154329       -0.0000163685
0.0000000001       -0.0000031593       0.0000177453       0.0010181722       0.0000177453
0.0000000001       0.0000084606       -0.0000029136       0.0010297922       -0.0000029136
0.0000000001       -0.0000018804       0.0000020006       0.0010194511       0.0000020006
0.0000000001       -0.0000169557       -0.0000143713       0.0010043758       -0.0000143713
0.0000000001       -0.0000073216       0.0000028381       0.0010140099       0.0000028381
0.0000000001       0.0000137498       0.0000044903       0.0010350813       0.0000044903
0.0000000001       -0.0000097375       0.0000031054       0.0010115940       0.0000031054
0.0000000001       -0.0000112169       -0.0000016448       0.0010101146       -0.0000016448
0.0000000001       0.0000009735       -0.0000202875       0.0010223050       -0.0000202875
0.0000000001       0.0000027925       -0.0000115707       0.0010241240       -0.0000115707
0.0000000001       -0.0000070685       -0.0000071201       0.0010142631       -0.0000071201
0.0000000001       -0.0000249428       0.0000042027       0.0009963887       0.0000042027
0.0000000001       0.0000038739       0.0000136363       0.0010252054       0.0000136363
0.0000000001       0.0000013121       -0.0000028918       0.0010226436       -0.0000028918
0.0000000001       0.0000048129       -0.0000093318       0.0010261444       -0.0000093318
0.0000000001       0.0000034795       -0.0000044726       0.0010248110       -0.0000044726
0.0000000001       -0.0000102831       -0.0000061937       0.0010110484       -0.0000061937
0.0000000001       -0.0000005524       0.0000127388       0.0010207791       0.0000127388
0.0000000001       0.0000011751       0.0000071562       0.0010225066       0.0000071562
0.0000000001       -0.0000119481       -0.0000072578       0.0010093834       -0.0000072578
0.0000000001       -0.0000025555       -0.0000033826       0.0010187760       -0.0000033826
0.0000000001       -0.0000106131       0.0000187798       0.0010107184       0.0000187798
0.0000000001       0.0000091868       0.0000078386       0.0010305183       0.0000078386
0.0000000001       0.0000073643       -0.0000154558       0.0010286958       -0.0000154558
0.0000000001       -0.0000095397       -0.0000042176       0.0010117918       -0.0000042176
0.0000000001       -0.0000020933       0.0000204609       0.0010192382       0.0000204609
0.0000000001       -0.0000014801       0.0000092761       0.0010198514       0.0000092761
0.0000000001       -0.0000066261       0.0000072980       0.0010147054       0.0000072980
0.0000000001       0.0000116189       -0.0000009894       0.0010329504       -0.0000009894
0.0000000001       0.0000177360       0.0000039621       0.0010390675       0.0000039621
0.0000000001       0.0000117820       -0.0000014492       0.0010331135       -0.0000014492
0.0000000001       0.0000027136       -0.0000283586       0.0010240451       -0.0000283586
0.0000000001       0.0000039170       0.0000045683       0.0010252485       0.0000045683
0.0000000001       -0.0000069604       -0.0000113328       0.0010143711       -0.0000113328
0.0000000001       -0.0000102396       -0.0000149584       0.0010110919       -0.0000149584
0.0000000001       -0.0000058013       0.0000245591       0.0010155302       0.0000245591
0.0000000001       0.0000112818       0.0000188776       0.0010326133       0.0000188776
0.0000000001       0.0000114175       -0.0000034044       0.0010327490       -0.0000034044
0.0000000001       0.0000021847       0.0000198871       0.0010235162       0.0000198871
0.0000000001       -0.0000066594       -0.0000055186       0.0010146721       -0.0000055186
0.0000000001       0.0000071011       -0.0000072861       0.0010284326       -0.0000072861
0.0000000001       0.0000047357       0.0000137209       0.0010260672       0.0000137209
0.0000000001       0.0000004074       -0.0000014049       0.0010217389       -0.0000014049
0.0000000001       0.0000026121       -0.0000220545       0.0010239436       -0.0000220545
0.0000000001       -0.0000091201       -0.0000192870       0.0010122115       -0.0000192870
0.0000000001       -0.0000098887       0.0000181098       0.0010114429       0.0000181098
0.0000000001       0.0000035458       0.0000035123       0.0010248773       0.0000035123
0.0000000001       -0.0000093418       0.0000017221       0.0010119897       0.0000017221
0.0000000001       -0.0000079909       -0.0000011486       0.0010133406       -0.0000011486
0.0000000001       0.0000133599       -0.0000032180       0.0010346915       -0.0000032180
0.0000000001       0.0000099230       -0.0000083830       0.0010312545       -0.0000083830
0.0000000001       -0.0000071092       0.0000018617       0.0010142223       0.0000018617
0.0000000001       0.0000057916       -0.0000013608       0.0010271232       -0.0000013608
0.0000000001       0.0000200902       -0.0000022349       0.0010414217       -0.0000022349
0.0000000001       -0.0000221045       -0.0000317791       0.0009992270       -0.0000317791
0.0000000001       0.0000010923       0.0000081004       0.0010224238       0.0000081004
0.0000000001       0.0000015950       0.0000188586       0.0010229265       0.0000188586
0.0000000001       -0.0000119838       0.0000188198       0.0010093477       0.0000188198
0.0000000001       0.0000152816       -0.0000197471       0.0010366132       -0.0000197471
0.0000000001       -0.0000066839       -0.0000022919       0.0010146476       -0.0000022919
0.0000000001       0.0000082882       -0.0000074740       0.0010296197       -0.0000074740
0.0000000001       -0.0000035175       -0.0000224013       0.0010178140       -0.0000224013
0.0000000001       -0.0000078850       0.0000060364       0.0010134465       0.0000060364
0.0000000001       0.0000123701       -0.0000182558       0.0010337016       -0.0000182558
0.0000000002       -0.0000030152       -0.0000030835       0.0010183163       -0.0000030835
0.0000000002       0.0000072157       0.0000179396       0.0010285472       0.0000179396
0.0000000002       -0.0000105863       -0.0000011363       0.0010107452       -0.0000011363
0.0000000002       0.0000072051       0.0000001623       0.0010285366       0.0000001623
0.0000000002       -0.0000090228       -0.0000063232       0.0010123087       -0.0000063232
0.0000000002       0.0000141120       0.0000038994       0.0010354435       0.0000038994
0.0000000002       0.0000119963       0.0000030679       0.0010333278       0.0000030679
0.0000000002       -0.0000267028       0.0000105460       0.0009946287       0.0000105460
0.0000000002       0.0000003075       0.0000126684       0.0010216390       0.0000126684
0.0000000002       0.0000218840       -0.0000082143       0.0010432155       -0.0000082143
0.0000000002       0.0000045014       -0.0000098030       0.0010258329       -0.0000098030
0.0000000002       0.0000001972       0.0000062729       0.0010215287       0.0000062729
0.0000000002       0.0000106639       0.0000349964       0.0010319954       0.0000349964
0.0000000002       0.0000153306       -0.0000075636       0.0010366621       -0.0000075636
0.0000000002       -0.0000044707       -0.0000116358       0.0010168609       -0.0000116358
0.0000000002       -0.0000135871       -0.0000044423       0.0010077445       -0.0000044423
0.0000000002       0.0000035993       0.0000030084       0.0010249309       0.0000030084
0.0000000002       -0.0000051123       -0.0000129159       0.0010162192       -0.0000129159
0.0000000002       -0.0000042743       0.0000060723       0.0010170572       0.0000060723
0.0000000002       0.0000153569       0.0000101116       0.0010366884       0.0000101116
0.0000000002       -0.0000145533       -0.0000062477       0.0010067782       -0.0000062477
0.0000000002       0.0000020147       0.0000037406       0.0010233462       0.0000037406
0.0000000002       -0.0000172148       0.0000067334       0.0010041168       0.0000067334
0.0000000002       -0.0000086622       -0.0000055452       0.0010126693       -0.0000055452
0.0000000002       0.0000059067       -0.0000255290       0.0010272382       -0.0000255290
0.0000000002       -0.0000069259       -0.0000108906       0.0010144056       -0.0000108906
0.0000000002       -0.0000002043       -0.0000169968       0.0010211272       -0.0000169968
0.0000000002       -0.0000108840       -0.0000041354       0.0010104476       -0.0000041354
0.0000000002       -0.0000134206       -0.0000085383       0.0010079109       -0.0000085383
0.0000000002       0.0000027629       -0.0000018840       0.0010240944       -0.0000018840
0.0000000002       0.0000009689       -0.0000005491       0.0010223004       -0.0000005491
0.0000000002       -0.0000104801       -0.0000010717       0.0010108514       -0.0000010717
0.0000000002       0.0000047005       0.0000183628       0.0010260321       0.0000183628
0.0000000002       0.0000008414       0.0000028561       0.0010221729       0.0000028561
0.0000000002       -0.0000225594       -0.0000037016       0.0009987721       -0.0000037016
0.0000000002       -0.0000067672       -0.0000084375       0.0010145643       -0.0000084375
0.0000000002       -0.0000088901       0.0000012906       0.0010124414       0.0000012906
0.0000000002       0.0000176711       0.0000155546       0.0010390026       0.0000155546
0.0000000002       0.0000028690       0.0000044885       0.0010242005       0.0000044885
0.0000000002       -0.0000086879       0.0000029975       0.0010126436       0.0000029975
0.0000000002       0.0000064920       0.0000075649       0.0010278235       0.0000075649
0.0000000002       -0.0000032621       0.0000022347       0.0010180694       0.0000022347
0.0000000002       -0.0000248004       0.0000130220       0.0009965311       0.0000130220
0.0000000002       -0.0000025474       0.0000089294       0.0010187842       0.0000089294
0.0000000002       0.0000345071       -0.0000027754       0.0010558386       -0.0000027754
0.0000000002       0.0000012209       -0.0000134699       0.0010225524       -0.0000134699
0.0000000002       -0.0000009131       0.0000139270       0.0010204184       0.0000139270
0.0000000002       0.0000013536       -0.0000087864       0.0010226851       -0.0000087864
0.0000000002       -0.0000103366       -0.0000035726       0.0010109949       -0.0000035726
0.0000000002       0.0000057564       -0.0000040079       0.0010270879       -0.0000040079
0.0000000002       0.0000076324       -0.0000021037       0.0010289639       -0.0000021037
0.0000000002       0.0000032349       -0.0000055572       0.0010245664       -0.0000055572
0.0000000002       -0.0000030022       0.0000217497       0.0010183294       0.0000217497
0.0000000002       -0.0000093432       0.0000179010       0.0010119883       0.0000179010
0.0000000002       0.0000160840       0.0000118086       0.0010374155       0.0000118086
0.0000000002       0.0000042947       -0.0000234631       0.0010256262       -0.0000234631
0.0000000002       -0.0000025506       0.0000134330       0.0010187809       0.0000134330
0.0000000002       0.0000076930       -0.0000054689       0.0010290245       -0.0000054689
0.0000000002       -0.0000096292       0.0000117337       0.0010117023       0.0000117337
0.0000000002       0.0000016802       0.0000007675       0.0010230117       0.0000007675
0.0000000002       -0.0000058471       -0.0000053517       0.0010154844       -0.0000053517
0.0000000002       -0.0000069199       -0.0000079476       0.0010144116       -0.0000079476
0.0000000002       -0.0000230659       -0.0000122552       0.0009982657       -0.0000122552
0.0000000002       -0.0000083009       -0.0000111804       0.0010130306       -0.0000111804
0.0000000002       0.0000192733       -0.0000054404       0.0010406048       -0.0000054404
0.0000000002       -0.0000176508       -0.0000037461       0.0010036807       -0.0000037461
0.0000000002       -0.0000035745       0.0000170512       0.0010177570       0.0000170512
0.0000000002       0.0000196967       -0.0000028356       0.0010410283       -0.0000028356
0.0000000002       0.0000169981       -0.0000042967       0.0010383296       -0.0000042967
0.0000000002       -0.0000014494       -0.0000142546       0.0010198821       -0.0000142546
0.0000000002       -0.0000056903       0.0000199127       0.0010156412       0.0000199127
0.0000000002       -0.0000022489       -0.0000050508       0.0010190826       -0.0000050508
0.0000000002       0.0000095006       0.0000067865       0.0010308321       0.0000067865
0.0000000002       -0.0000131282       0.0000292328       0.0010082033       0.0000292328
0.0000000002       0.0000158358       -0.0000279912       0.0010371673       -0.0000279912
0.0000000002       -0.0000189216       -0.0000144442       0.0010024099       -0.0000144442
0.0000000002       -0.0000158709       0.0000018859       0.0010054606       0.0000018859
0.0000000002       -0.0000028853       -0.0000058363       0.0010184463       -0.0000058363
0.0000000002       -0.0000062291       0.0000040854       0.0010151025       0.0000040854
0.0000000002       -0.0000036671       -0.0000282153       0.0010176644       -0.0000282153
0.0000000002       -0.0000103131       0.0000052299       0.0010110184       0.0000052299
0.0000000002       0.0000154916       0.0000037085       0.0010368232       0.0000037085
0.0000000002       -0.0000089011       -0.0000051887       0.0010124304       -0.0000051887
0.0000000002       0.0000080328       0.0000049591       0.0010293643       0.0000049591
0.0000000002       0.0000059274       -0.0000076712       0.0010272589       -0.0000076712
0.0000000002       -0.0000250210       -0.0000084265       0.0009963105       -0.0000084265
0.0000000002       -0.0000047395       -0.0000078533       0.0010165920       -0.0000078533
0.0000000002       0.0000047988       0.0000175585       0.0010261303       0.0000175585
0.0000000002       0.0000339376       0.0000095402       0.0010552692       0.0000095402
